,exp_group,user_id,likes,views,ctr
0,3,115383,12,44,0.2727272727272727
1,1,18392,7,32,0.21875
2,3,123580,2,11,0.1818181818181818
3,2,131473,9,108,0.0833333333333333
4,2,32420,13,44,0.2954545454545454
5,2,24239,40,90,0.4444444444444444
6,0,30319,25,114,0.219298245614035
7,1,27443,22,109,0.2018348623853211
8,3,118359,7,38,0.1842105263157894
9,1,27131,12,89,0.1348314606741573
10,0,7626,14,39,0.358974358974359
11,3,16699,6,16,0.375
12,1,115796,6,57,0.1052631578947368
13,3,138445,18,93,0.1935483870967742
14,1,123999,22,92,0.2391304347826087
15,2,118619,8,65,0.123076923076923
16,1,15877,12,53,0.2264150943396226
17,1,120036,10,72,0.1388888888888889
18,2,10098,3,9,0.3333333333333333
19,3,21315,32,138,0.2318840579710145
20,3,122599,13,43,0.3023255813953488
21,1,110953,17,66,0.2575757575757575
22,0,12217,12,52,0.2307692307692307
23,3,13318,4,16,0.25
24,0,3450,10,42,0.238095238095238
25,1,132278,39,181,0.2154696132596685
26,0,109621,25,166,0.1506024096385542
27,1,120836,1,27,0.037037037037037
28,1,129039,45,131,0.3435114503816794
29,2,2385,12,118,0.1016949152542373
30,3,131229,17,79,0.2151898734177215
31,0,117176,2,20,0.1
32,0,17783,3,18,0.1666666666666666
33,3,24264,16,70,0.2285714285714285
34,2,10289,2,42,0.0476190476190476
35,2,115408,7,64,0.109375
36,1,4997,1,12,0.0833333333333333
37,0,125456,25,140,0.1785714285714285
38,2,135810,34,100,0.34
39,2,28087,8,75,0.1066666666666666
40,1,30216,11,74,0.1486486486486486
41,1,22019,14,80,0.175
42,2,19900,13,32,0.40625
43,0,18839,2,15,0.1333333333333333
44,1,15782,29,81,0.3580246913580246
45,3,135134,38,171,0.2222222222222222
46,1,128388,30,170,0.1764705882352941
47,1,132573,12,56,0.2142857142857142
48,1,30752,31,149,0.2080536912751678
49,2,25503,4,35,0.1142857142857142
50,3,14245,8,67,0.1194029850746268
51,1,111306,6,19,0.3157894736842105
52,0,7329,3,16,0.1875
53,3,33010,3,22,0.1363636363636363
54,0,15970,6,45,0.1333333333333333
55,1,124924,9,36,0.25
56,3,17048,5,24,0.2083333333333333
57,0,111558,8,45,0.1777777777777777
58,3,16464,16,51,0.3137254901960784
59,3,138662,16,93,0.1720430107526881
60,3,24667,21,104,0.2019230769230769
61,3,123167,2,32,0.0625
62,2,32719,4,54,0.074074074074074
63,2,139505,16,47,0.3404255319148936
64,2,131322,26,60,0.4333333333333333
65,1,138053,5,17,0.2941176470588235
66,0,114470,18,107,0.1682242990654205
67,1,125724,24,96,0.25
68,1,125396,27,140,0.1928571428571428
69,0,14628,8,24,0.3333333333333333
70,3,8859,25,124,0.2016129032258064
71,1,135723,29,99,0.2929292929292929
72,1,123506,18,44,0.4090909090909091
73,3,18198,6,25,0.24
74,2,13095,3,27,0.1111111111111111
75,3,17886,16,73,0.2191780821917808
76,1,114865,6,21,0.2857142857142857
77,2,12783,9,53,0.1698113207547169
78,0,24161,7,31,0.2258064516129032
79,0,131991,2,17,0.1176470588235294
80,1,2651,7,33,0.2121212121212121
81,0,130862,11,49,0.2244897959183673
82,2,110763,9,98,0.0918367346938775
